Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-23 15:19:00+00:00,68117.6796875,68117.6796875,68117.6796875,68117.6796875,68117.6796875,0
2024-05-23 15:20:00+00:00,68086.4140625,68086.4140625,68086.4140625,68086.4140625,68086.4140625,11984896
2024-05-23 15:21:00+00:00,68083.2734375,68083.2734375,68083.2734375,68083.2734375,68083.2734375,4780032
2024-05-23 15:22:00+00:00,68119.90625,68119.90625,68119.90625,68119.90625,68119.90625,11407360
2024-05-23 15:23:00+00:00,68149.765625,68149.765625,68149.765625,68149.765625,68149.765625,0
2024-05-23 15:24:00+00:00,68170.2109375,68170.2109375,68170.2109375,68170.2109375,68170.2109375,11767808
2024-05-23 15:25:00+00:00,68176.234375,68176.234375,68176.234375,68176.234375,68176.234375,8835072
2024-05-23 15:26:00+00:00,68173.296875,68173.296875,68173.296875,68173.296875,68173.296875,48295936
2024-05-23 15:27:00+00:00,68161.4140625,68161.4140625,68161.4140625,68161.4140625,68161.4140625,10231808
2024-05-23 15:28:00+00:00,68149.4921875,68149.4921875,68149.4921875,68149.4921875,68149.4921875,0
2024-05-23 15:29:00+00:00,68155.3984375,68155.3984375,68155.3984375,68155.3984375,68155.3984375,22114304
2024-05-23 15:30:00+00:00,68162.6484375,68162.6484375,68162.6484375,68162.6484375,68162.6484375,21184512
2024-05-23 15:31:00+00:00,68172.3671875,68172.3671875,68172.3671875,68172.3671875,68172.3671875,0
2024-05-23 15:32:00+00:00,68197.1484375,68197.1484375,68197.1484375,68197.1484375,68197.1484375,0
2024-05-23 15:33:00+00:00,68242.078125,68242.078125,68242.078125,68242.078125,68242.078125,14618624
2024-05-23 15:34:00+00:00,68201.25,68201.25,68201.25,68201.25,68201.25,21291008
2024-05-23 15:35:00+00:00,68216.859375,68216.859375,68216.859375,68216.859375,68216.859375,86663168
2024-05-23 15:37:00+00:00,68150.953125,68150.953125,68150.953125,68150.953125,68150.953125,16666624
2024-05-23 15:38:00+00:00,68203.453125,68203.453125,68203.453125,68203.453125,68203.453125,8712192
2024-05-23 15:39:00+00:00,68224.515625,68224.515625,68224.515625,68224.515625,68224.515625,9449472
2024-05-23 15:40:00+00:00,68194.203125,68194.203125,68194.203125,68194.203125,68194.203125,4730880
2024-05-23 15:41:00+00:00,68159.6640625,68159.6640625,68159.6640625,68159.6640625,68159.6640625,503808
2024-05-23 15:42:00+00:00,68154.9453125,68154.9453125,68154.9453125,68154.9453125,68154.9453125,0
2024-05-23 15:44:00+00:00,68116.9609375,68116.9609375,68116.9609375,68116.9609375,68116.9609375,0
2024-05-23 15:46:00+00:00,67989.125,67989.125,67989.125,67989.125,67989.125,0
2024-05-23 15:47:00+00:00,68010.8046875,68010.8046875,68010.8046875,68010.8046875,68010.8046875,0
2024-05-23 15:48:00+00:00,68013.984375,68013.984375,68013.984375,68013.984375,68013.984375,0
2024-05-23 15:49:00+00:00,68003.9375,68003.9375,68003.9375,68003.9375,68003.9375,0
2024-05-23 15:50:00+00:00,67952.3828125,67952.3828125,67952.3828125,67952.3828125,67952.3828125,0
2024-05-23 15:51:00+00:00,67949.1328125,67949.1328125,67949.1328125,67949.1328125,67949.1328125,0
2024-05-23 15:52:00+00:00,67978.640625,67978.640625,67978.640625,67978.640625,67978.640625,0
2024-05-23 15:53:00+00:00,67970.5859375,67970.5859375,67970.5859375,67970.5859375,67970.5859375,0
2024-05-23 15:54:00+00:00,67993.7421875,67993.7421875,67993.7421875,67993.7421875,67993.7421875,0
2024-05-23 15:55:00+00:00,67989.4296875,67989.4296875,67989.4296875,67989.4296875,67989.4296875,0
2024-05-23 15:56:00+00:00,67999.328125,67999.328125,67999.328125,67999.328125,67999.328125,0
2024-05-23 15:57:00+00:00,68021.9921875,68021.9921875,68021.9921875,68021.9921875,68021.9921875,0
2024-05-23 15:58:00+00:00,68055.1171875,68055.1171875,68055.1171875,68055.1171875,68055.1171875,0
2024-05-23 15:59:00+00:00,68048.7421875,68048.7421875,68048.7421875,68048.7421875,68048.7421875,0
2024-05-23 16:00:00+00:00,68035.1484375,68035.1484375,68035.1484375,68035.1484375,68035.1484375,4898816
2024-05-23 16:03:00+00:00,68059.3203125,68059.3203125,68059.3203125,68059.3203125,68059.3203125,0
2024-05-23 16:04:00+00:00,68070.9765625,68070.9765625,68070.9765625,68070.9765625,68070.9765625,3624960
2024-05-23 16:05:00+00:00,68031.3515625,68031.3515625,68031.3515625,68031.3515625,68031.3515625,0
2024-05-23 16:06:00+00:00,68018.71875,68018.71875,68018.71875,68018.71875,68018.71875,0
2024-05-23 16:07:00+00:00,68053.2890625,68053.2890625,68053.2890625,68053.2890625,68053.2890625,0
2024-05-23 16:08:00+00:00,68031.3828125,68031.3828125,68031.3828125,68031.3828125,68031.3828125,0
2024-05-23 16:10:00+00:00,68061.078125,68061.078125,68061.078125,68061.078125,68061.078125,3862528
2024-05-23 16:11:00+00:00,68070.03125,68070.03125,68070.03125,68070.03125,68070.03125,5115904
2024-05-23 16:12:00+00:00,68068.8828125,68068.8828125,68068.8828125,68068.8828125,68068.8828125,0
2024-05-23 16:13:00+00:00,67955.7265625,67955.7265625,67955.7265625,67955.7265625,67955.7265625,0
2024-05-23 16:14:00+00:00,67902.640625,67902.640625,67902.640625,67902.640625,67902.640625,8839168
2024-05-23 16:15:00+00:00,67884.1484375,67884.1484375,67884.1484375,67884.1484375,67884.1484375,2093056
2024-05-23 16:16:00+00:00,67902.9140625,67902.9140625,67902.9140625,67902.9140625,67902.9140625,0
2024-05-23 16:17:00+00:00,67871.8125,67871.8125,67871.8125,67871.8125,67871.8125,0
2024-05-23 16:18:00+00:00,67898.296875,67898.296875,67898.296875,67898.296875,67898.296875,0
2024-05-23 16:20:00+00:00,67867.1640625,67867.1640625,67867.1640625,67867.1640625,67867.1640625,0
2024-05-23 16:22:00+00:00,67876.1484375,67876.1484375,67876.1484375,67876.1484375,67876.1484375,8720384
2024-05-23 16:23:00+00:00,67838.0390625,67838.0390625,67838.0390625,67838.0390625,67838.0390625,7270400
2024-05-23 16:24:00+00:00,67887.046875,67887.046875,67887.046875,67887.046875,67887.046875,4149248
2024-05-23 16:27:00+00:00,67964.0,67964.0,67964.0,67964.0,67964.0,30920704
2024-05-23 16:29:00+00:00,67990.8828125,67990.8828125,67990.8828125,67990.8828125,67990.8828125,31289344
2024-05-23 16:30:00+00:00,67972.515625,67972.515625,67972.515625,67972.515625,67972.515625,245760
2024-05-23 16:32:00+00:00,67933.953125,67933.953125,67933.953125,67933.953125,67933.953125,15769600
2024-05-23 16:33:00+00:00,67980.90625,67980.90625,67980.90625,67980.90625,67980.90625,0
2024-05-23 16:34:00+00:00,67961.765625,67961.765625,67961.765625,67961.765625,67961.765625,0
2024-05-23 16:35:00+00:00,67989.421875,67989.421875,67989.421875,67989.421875,67989.421875,0
2024-05-23 16:36:00+00:00,68035.140625,68035.140625,68035.140625,68035.140625,68035.140625,0
2024-05-23 16:37:00+00:00,68063.875,68063.875,68063.875,68063.875,68063.875,0
2024-05-23 16:38:00+00:00,68077.8828125,68077.8828125,68077.8828125,68077.8828125,68077.8828125,4210688
2024-05-23 16:39:00+00:00,68087.0390625,68087.0390625,68087.0390625,68087.0390625,68087.0390625,0
2024-05-23 16:40:00+00:00,68062.9296875,68062.9296875,68062.9296875,68062.9296875,68062.9296875,0
2024-05-23 16:41:00+00:00,68084.0625,68084.0625,68084.0625,68084.0625,68084.0625,1757184
